Title,URL,Paragraph
केंद्र सरकार 1 मेपासून फास्टॅग हटवून सॅटेलाईट टोल प्रणाली सुरू करणार का ? वाचा सत्य,http://marathi.factcrescendo.com/rumor-goes-viral-as-central-government-will-launch-a-gps-based-toll-collection-system-from-may-1/,"केंद्रीय वाहतूक मंत्री नितीन गडकरी यांनी सॅटेलाईटद्वारे टोल वसूली या नविन नितीवर अनेकदा भाष्य केले आहे. या पार्श्वभूमीवर “1 मेपासून केंद्र सरकार फस्टॅग हटवून जीपीएस-आधारित टोल वसूल करणार आहे, असा दावा सोशल मीडियावर व्हायरल होत आहे. फॅक्ट क्रेसेंडोच्या वाचकांनी ही पोस्ट आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकावर (9049053770) पाठवून फॅक्ट-चेक करण्याची विनंती केली.  पडताळणीअंती कळाले की, व्हायरल […]"
पश्चिम बंगालमध्ये जमावाद्वारे पोलिसांवर दगडफेक केल्याचा जुना व्हिडिओ सध्याचा म्हणून व्हायरल,http://marathi.factcrescendo.com/old-video-of-mob-attack-on-police-in-west-bengal-during-covid-goes-viral-as-current-event/,"पश्चिम बंगालमधील मुर्शिदाबादच्या हिंसाचाराच्या पार्श्वभूमीवर जमावाद्वारे सुरक्षा रक्षकांवर दगडफेक केल्याचा व्हिडिओ सोशल मीडियावर व्हायरल होत आहे. दावा केला जात आहे की, पश्चिम बंगालमध्ये जामावाने सुरक्षा रक्षकांवर दगडफेक केली. फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकावर (9049053770) पाठवून फॅक्ट-चेक करण्याची विनंती केली.  पडताळणीअंती कळाले की, व्हायरल व्हिडिओ सध्याचा नसून 5 वर्षांपूर्वीचा आहे. काय आहे […]"
भाजप नेत्याने पोलिसांना मारहाण केल्याचा जुना व्हिडिओ खोट्या दाव्यासह व्हायरल,http://marathi.factcrescendo.com/old-video-of-bjp-leader-manish-chaudhary-beating-up-police-officer-viral-with-false-claim/,"पश्चिम बंगालमध्ये झालेल्या हिंसाचाराच्या पाश्वभूमीवर एक व्हिडिओ सध्या सोशल मीडियावर व्हायरल होत आहे. यामध्ये एक व्यक्ती पोलिस अधिकाऱ्यासोबत मारहाण करताना दिसतो. जावा केला जात आहे की, हा व्हिडिओ पश्चिम बंगालचा असून आमदार मोहम्मद दिमीर यांनी पोलिस अधिकाऱ्याला मारहाण केली. फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकावर (9049053770) पाठवून फॅक्ट-चेक करण्याची विनंती केली. पडताळणीअंती कळाले की, […]"
जमावाद्वारे पोलिसांवर दगडफेक केल्याचा व्हिडिओ पश्चिम बंगालचा नाही; वाचा सत्य,http://marathi.factcrescendo.com/the-video-of-a-mob-pelting-stones-at-the-police-is-not-from-west-bengal-but-from-nepal/,"पश्चिम बंगालमध्ये झालेल्या हिंसाचाराच्या पाश्वभूमीवर एक व्हिडिओ सध्या सोशल मीडियावर व्हायरल होत आहे. ज्यामध्ये जमाव पोसिलांवर दगडफेक करताना दिसतात. दावा केला जात आहे की, “पोलिसांवर जमावाद्वारे दगडफेक केल्याचा हा व्हिडिओ पश्चिम बंगालचा आहे.” फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकावर (9049053770) पाठवून फॅक्ट-चेक करण्याची विनंती केली. पडताळणीअंती कळाले की, व्हायरल व्हिडिओ पश्चिम बंगालचा […]"
जेसीबीला धडक देणाऱ्या हत्तीचा व्हिडिओ हैदराबादचा आहे का ? वाचा सत्य,http://marathi.factcrescendo.com/the-video-of-an-elephant-hitting-a-jcb-is-not-from-hyderabad/,"काही दिवसांपूर्वी तेलंगणा सरकारने हैदराबाद विद्यापीठाच्या (यूओएच) शेजारील असणाऱ्या सुमारे 400 एकर वनजमिनीचा आयटी पार्क बांधण्यासाठी लिलाव केला होता आणि जंगलतोडीसाठी अवजड वाहने पाठवली होती. याच पाश्वभूमीवर सोशल मीडियावर एक व्हिडिओ व्हायरल होत आहे. ज्यामध्ये एक हत्ती जेसीबीला धडक दिल्यानंतर जखमी होतो आणि काही काळानंतर त्याचा उपचार केला जातो. दावा केला जात आहे की, व्हायरल […]"
काँग्रेसने मोहम्मद रफी यांच्या ‘काश्मीर’ वरील गाण्यावर बंदी घातली होती का ? वाचा सत्य,http://marathi.factcrescendo.com/congress-did-not-ban-muhammad-rafis-song-jannat-ki-hai-tasveer-yeh/,"सध्या सोशल मीडियावर मोहम्मद रफी यांनी गायलेल्या “जन्नत की है तस्वीर ये तस्वीर न देंगे” हे गाणे व्हायरल होत आहे. दावा केला जात आहे की, या गाण्यावर बंदी घाण्यासाठी पाकिस्तान सरकारने तत्कालीन काँग्रेस सरकारवर दबाव आणला होता आणि त्यानुसार बंदीसुद्धा घातली गेली होती. फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकावर (9049053770) पाठवून फॅक्ट-चेक […]"
‘मला मराठी बोलता येत नाही’ असे बॅनर लोकांनी घेतलेल्याचा एआय व्हिडिओ खरा म्हणून व्हायरल,http://marathi.factcrescendo.com/ai-video-of-people-holding-banners-saying-i-cant-speak-marathi-goes-viral-as-real/,"महाराष्ट्रात मराठी आणि अमराठी लोकांचा भाषेवरील वाद काही जुना नाही. याच पार्श्वभूमीवर काही लोक ‘मला मराठी येत नाही. कृपया आम्हाला देशद्रोही म्हणू नका’ असे बॅनर हातात घेतलेले दिसतात.  दावा केला जात आहे की, महाराष्ट्रात काही लोकांनी ‘मला मराठी येत नाही. कृपया आम्हाला देशद्रोही म्हणू नका’ असे बॅनर हातात घेत आपला निषेध व्यक्त केला. फॅक्ट क्रेसेंडोच्या […]"
महिलेने स्वत:ला पेटवून घेतल्याचा जुना व्हिडिओ सध्याची घटना म्हणून व्हायरल,http://marathi.factcrescendo.com/old-video-of-a-woman-setting-herself-on-fire-in-front-of-lucknow-vidhansabha-viral-as-a-current-incident/,"सध्या सोशल मीडियावर एका व्हिडिओ व्हायरल होत आहे की, एक महिला एका सरकारी कार्यालयासमोर स्वत:ला आग लावते आणि पोलिस कर्मचारी ती आग विझवून महिलेला वाहनात बसवतात. दावा केला जात आहे की, लखनऊ विधानसभेसमोर एका महिलेने स्वत:ला पेटवून घेतल्याची घटना नुकतीच घडली आहे.  फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकवर (9049053770) पाठवून फॅक्ट चेक […]"
वक्फ दुरुस्ती विधेयकाला मंजुरी मिळाल्यावर असदुद्दीन ओवेसींना रडू कोसळले का?,http://marathi.factcrescendo.com/asaduddin-owaisi-didnt-cried-after-waqf-amendment-bill-was-approved-in-parliament/,"वक्फ सुधारणा विधेयकाला लोकसभा आणि राज्यसभेत मंजूरी मिळाली असून राष्ट्रपतींच्या स्वाक्षरीनंतर या विधेयकाचे कायद्यात रूपांतर होईल. या पार्श्वभूमीवर एआयएमआयएम खासदार असदुद्दीन ओवेसी यांचा संसदेत डोळे चोळतानाचा व्हिडिओ सोशल मीडियावर व्हायरल होत आहे. दावा केला जात आहे की, “वक्फ दुरुस्ती विधेयकाला संसदेत मंजुरी मिळाल्यावर एआयएमआयएम प्रमुख असदुद्दीन ओवेसी यांना दु:खात अश्रू अनावर झाले.” फॅक्ट क्रेसेंडोच्या वाचकांनी […]"
संजय निरुपम यांनी स्वपक्षीय एकनाथ शिंदे यांना गद्दार म्हटले का ? वाचा सत्य,http://marathi.factcrescendo.com/altered-video-of-sanjay-nirupam-calling-eknath-shinde-a-traitor-goes-viral/,"कॉमेडियन कुणाल कामराच्या वादग्रस्त व्हिडिओनंतर आता शिंदे सेनेचे नेते संजय निरुपम यांची एक व्हिडिओ क्लिप सोशल मीडियावर व्हायरल होत आहे.  दावा केला जात आहे की, शिंदे सेनेचे नेते संजय निरुपम यांनी एकनाथ शिंदे यांना गद्दार म्हटले. फॅक्ट क्रेसेंडोच्या वाचकांनी हा व्हिडिओ आमच्या व्हॉटसअॅप फॅक्टलाईन क्रमांकवर (9049053770) पाठवून फॅक्ट चेक करण्याची विनंती केली. पडताळणीअंती कळाले की, व्हायरल व्हिडिओ […]"
